view,adapter_dataset,execution_split,dataset,source_split,role,base_video_id,source_group_id,source_video_id,target_video_id,study_label,manipulation,relative_source_path,source_label
aggregate,FaceForensics++,test,FaceForensics++,train,development,193_030,030_193,193,030,1,FaceSwap,FaceSwap/193_030.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,030_193,030_193,030,193,1,NeuralTextures,NeuralTextures/030_193.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,193_030,030_193,193,030,1,NeuralTextures,NeuralTextures/193_030.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,031,031_163,031,,0,,original/031.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,163,031_163,163,,0,,original/163.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,031_163,031_163,031,163,1,DeepFakes,Deepfakes/031_163.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,163_031,031_163,163,031,1,DeepFakes,Deepfakes/163_031.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,031_163,031_163,031,163,1,Face2Face,Face2Face/031_163.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,163_031,031_163,163,031,1,Face2Face,Face2Face/163_031.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,031_163,031_163,031,163,1,FaceSwap,FaceSwap/031_163.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,163_031,031_163,163,031,1,FaceSwap,FaceSwap/163_031.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,031_163,031_163,031,163,1,NeuralTextures,NeuralTextures/031_163.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,163_031,031_163,163,031,1,NeuralTextures,NeuralTextures/163_031.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,051,051_332,051,,0,,original/051.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,332,051_332,332,,0,,original/332.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,051_332,051_332,051,332,1,DeepFakes,Deepfakes/051_332.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,332_051,051_332,332,051,1,DeepFakes,Deepfakes/332_051.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,051_332,051_332,051,332,1,Face2Face,Face2Face/051_332.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,332_051,051_332,332,051,1,Face2Face,Face2Face/332_051.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,051_332,051_332,051,332,1,FaceSwap,FaceSwap/051_332.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,332_051,051_332,332,051,1,FaceSwap,FaceSwap/332_051.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,051_332,051_332,051,332,1,NeuralTextures,NeuralTextures/051_332.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,332_051,051_332,332,051,1,NeuralTextures,NeuralTextures/332_051.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,054,054_071,054,,0,,original/054.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,071,054_071,071,,0,,original/071.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,054_071,054_071,054,071,1,DeepFakes,Deepfakes/054_071.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,071_054,054_071,071,054,1,DeepFakes,Deepfakes/071_054.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,054_071,054_071,054,071,1,Face2Face,Face2Face/054_071.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,071_054,054_071,071,054,1,Face2Face,Face2Face/071_054.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,054_071,054_071,054,071,1,FaceSwap,FaceSwap/054_071.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,071_054,054_071,071,054,1,FaceSwap,FaceSwap/071_054.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,054_071,054_071,054,071,1,NeuralTextures,NeuralTextures/054_071.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,071_054,054_071,071,054,1,NeuralTextures,NeuralTextures/071_054.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,069,069_961,069,,0,,original/069.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,961,069_961,961,,0,,original/961.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,069_961,069_961,069,961,1,DeepFakes,Deepfakes/069_961.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,961_069,069_961,961,069,1,DeepFakes,Deepfakes/961_069.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,069_961,069_961,069,961,1,Face2Face,Face2Face/069_961.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,961_069,069_961,961,069,1,Face2Face,Face2Face/961_069.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,069_961,069_961,069,961,1,FaceSwap,FaceSwap/069_961.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,961_069,069_961,961,069,1,FaceSwap,FaceSwap/961_069.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,069_961,069_961,069,961,1,NeuralTextures,NeuralTextures/069_961.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,961_069,069_961,961,069,1,NeuralTextures,NeuralTextures/961_069.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,076,076_079,076,,0,,original/076.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,079,076_079,079,,0,,original/079.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,076_079,076_079,076,079,1,DeepFakes,Deepfakes/076_079.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,079_076,076_079,079,076,1,DeepFakes,Deepfakes/079_076.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,076_079,076_079,076,079,1,Face2Face,Face2Face/076_079.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,079_076,076_079,079,076,1,Face2Face,Face2Face/079_076.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,076_079,076_079,076,079,1,FaceSwap,FaceSwap/076_079.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,079_076,076_079,079,076,1,FaceSwap,FaceSwap/079_076.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,076_079,076_079,076,079,1,NeuralTextures,NeuralTextures/076_079.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,079_076,076_079,079,076,1,NeuralTextures,NeuralTextures/079_076.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,077,077_100,077,,0,,original/077.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,100,077_100,100,,0,,original/100.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,077_100,077_100,077,100,1,DeepFakes,Deepfakes/077_100.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,100_077,077_100,100,077,1,DeepFakes,Deepfakes/100_077.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,077_100,077_100,077,100,1,Face2Face,Face2Face/077_100.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,100_077,077_100,100,077,1,Face2Face,Face2Face/100_077.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,077_100,077_100,077,100,1,FaceSwap,FaceSwap/077_100.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,100_077,077_100,100,077,1,FaceSwap,FaceSwap/100_077.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,077_100,077_100,077,100,1,NeuralTextures,NeuralTextures/077_100.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,100_077,077_100,100,077,1,NeuralTextures,NeuralTextures/100_077.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,083,083_213,083,,0,,original/083.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,213,083_213,213,,0,,original/213.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,083_213,083_213,083,213,1,DeepFakes,Deepfakes/083_213.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,213_083,083_213,213,083,1,DeepFakes,Deepfakes/213_083.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,083_213,083_213,083,213,1,Face2Face,Face2Face/083_213.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,213_083,083_213,213,083,1,Face2Face,Face2Face/213_083.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,083_213,083_213,083,213,1,FaceSwap,FaceSwap/083_213.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,213_083,083_213,213,083,1,FaceSwap,FaceSwap/213_083.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,083_213,083_213,083,213,1,NeuralTextures,NeuralTextures/083_213.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,213_083,083_213,213,083,1,NeuralTextures,NeuralTextures/213_083.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,085,085_124,085,,0,,original/085.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,124,085_124,124,,0,,original/124.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,085_124,085_124,085,124,1,DeepFakes,Deepfakes/085_124.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,124_085,085_124,124,085,1,DeepFakes,Deepfakes/124_085.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,085_124,085_124,085,124,1,Face2Face,Face2Face/085_124.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,124_085,085_124,124,085,1,Face2Face,Face2Face/124_085.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,085_124,085_124,085,124,1,FaceSwap,FaceSwap/085_124.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,124_085,085_124,124,085,1,FaceSwap,FaceSwap/124_085.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,085_124,085_124,085,124,1,NeuralTextures,NeuralTextures/085_124.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,124_085,085_124,124,085,1,NeuralTextures,NeuralTextures/124_085.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,086,086_090,086,,0,,original/086.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,090,086_090,090,,0,,original/090.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,086_090,086_090,086,090,1,DeepFakes,Deepfakes/086_090.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,090_086,086_090,090,086,1,DeepFakes,Deepfakes/090_086.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,086_090,086_090,086,090,1,Face2Face,Face2Face/086_090.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,090_086,086_090,090,086,1,Face2Face,Face2Face/090_086.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,086_090,086_090,086,090,1,FaceSwap,FaceSwap/086_090.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,090_086,086_090,090,086,1,FaceSwap,FaceSwap/090_086.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,086_090,086_090,086,090,1,NeuralTextures,NeuralTextures/086_090.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,090_086,086_090,090,086,1,NeuralTextures,NeuralTextures/090_086.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,092,092_098,092,,0,,original/092.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,098,092_098,098,,0,,original/098.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,092_098,092_098,092,098,1,DeepFakes,Deepfakes/092_098.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,098_092,092_098,098,092,1,DeepFakes,Deepfakes/098_092.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,092_098,092_098,092,098,1,Face2Face,Face2Face/092_098.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,098_092,092_098,098,092,1,Face2Face,Face2Face/098_092.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,092_098,092_098,092,098,1,FaceSwap,FaceSwap/092_098.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,098_092,092_098,098,092,1,FaceSwap,FaceSwap/098_092.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,092_098,092_098,092,098,1,NeuralTextures,NeuralTextures/092_098.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,098_092,092_098,098,092,1,NeuralTextures,NeuralTextures/098_092.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,117,117_217,117,,0,,original/117.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,217,117_217,217,,0,,original/217.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,117_217,117_217,117,217,1,DeepFakes,Deepfakes/117_217.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,217_117,117_217,217,117,1,DeepFakes,Deepfakes/217_117.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,117_217,117_217,117,217,1,Face2Face,Face2Face/117_217.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,217_117,117_217,217,117,1,Face2Face,Face2Face/217_117.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,117_217,117_217,117,217,1,FaceSwap,FaceSwap/117_217.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,217_117,117_217,217,117,1,FaceSwap,FaceSwap/217_117.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,117_217,117_217,117,217,1,NeuralTextures,NeuralTextures/117_217.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,217_117,117_217,217,117,1,NeuralTextures,NeuralTextures/217_117.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,136,136_285,136,,0,,original/136.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,285,136_285,285,,0,,original/285.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,136_285,136_285,136,285,1,DeepFakes,Deepfakes/136_285.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,285_136,136_285,285,136,1,DeepFakes,Deepfakes/285_136.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,136_285,136_285,136,285,1,Face2Face,Face2Face/136_285.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,285_136,136_285,285,136,1,Face2Face,Face2Face/285_136.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,136_285,136_285,136,285,1,FaceSwap,FaceSwap/136_285.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,285_136,136_285,285,136,1,FaceSwap,FaceSwap/285_136.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,136_285,136_285,136,285,1,NeuralTextures,NeuralTextures/136_285.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,285_136,136_285,285,136,1,NeuralTextures,NeuralTextures/285_136.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,140,140_143,140,,0,,original/140.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,143,140_143,143,,0,,original/143.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,140_143,140_143,140,143,1,DeepFakes,Deepfakes/140_143.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,143_140,140_143,143,140,1,DeepFakes,Deepfakes/143_140.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,140_143,140_143,140,143,1,Face2Face,Face2Face/140_143.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,143_140,140_143,143,140,1,Face2Face,Face2Face/143_140.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,140_143,140_143,140,143,1,FaceSwap,FaceSwap/140_143.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,143_140,140_143,143,140,1,FaceSwap,FaceSwap/143_140.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,140_143,140_143,140,143,1,NeuralTextures,NeuralTextures/140_143.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,143_140,140_143,143,140,1,NeuralTextures,NeuralTextures/143_140.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,162,162_330,162,,0,,original/162.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,330,162_330,330,,0,,original/330.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,162_330,162_330,162,330,1,DeepFakes,Deepfakes/162_330.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,330_162,162_330,330,162,1,DeepFakes,Deepfakes/330_162.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,162_330,162_330,162,330,1,Face2Face,Face2Face/162_330.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,330_162,162_330,330,162,1,Face2Face,Face2Face/330_162.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,162_330,162_330,162,330,1,FaceSwap,FaceSwap/162_330.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,330_162,162_330,330,162,1,FaceSwap,FaceSwap/330_162.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,162_330,162_330,162,330,1,NeuralTextures,NeuralTextures/162_330.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,330_162,162_330,330,162,1,NeuralTextures,NeuralTextures/330_162.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,166,166_167,166,,0,,original/166.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,167,166_167,167,,0,,original/167.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,166_167,166_167,166,167,1,DeepFakes,Deepfakes/166_167.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,167_166,166_167,167,166,1,DeepFakes,Deepfakes/167_166.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,166_167,166_167,166,167,1,Face2Face,Face2Face/166_167.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,167_166,166_167,167,166,1,Face2Face,Face2Face/167_166.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,166_167,166_167,166,167,1,FaceSwap,FaceSwap/166_167.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,167_166,166_167,167,166,1,FaceSwap,FaceSwap/167_166.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,166_167,166_167,166,167,1,NeuralTextures,NeuralTextures/166_167.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,167_166,166_167,167,166,1,NeuralTextures,NeuralTextures/167_166.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,168,168_222,168,,0,,original/168.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,222,168_222,222,,0,,original/222.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,168_222,168_222,168,222,1,DeepFakes,Deepfakes/168_222.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,222_168,168_222,222,168,1,DeepFakes,Deepfakes/222_168.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,168_222,168_222,168,222,1,Face2Face,Face2Face/168_222.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,222_168,168_222,222,168,1,Face2Face,Face2Face/222_168.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,168_222,168_222,168,222,1,FaceSwap,FaceSwap/168_222.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,222_168,168_222,222,168,1,FaceSwap,FaceSwap/222_168.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,168_222,168_222,168,222,1,NeuralTextures,NeuralTextures/168_222.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,222_168,168_222,222,168,1,NeuralTextures,NeuralTextures/222_168.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,181,181_199,181,,0,,original/181.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,199,181_199,199,,0,,original/199.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,181_199,181_199,181,199,1,DeepFakes,Deepfakes/181_199.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,199_181,181_199,199,181,1,DeepFakes,Deepfakes/199_181.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,181_199,181_199,181,199,1,Face2Face,Face2Face/181_199.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,199_181,181_199,199,181,1,Face2Face,Face2Face/199_181.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,181_199,181_199,181,199,1,FaceSwap,FaceSwap/181_199.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,199_181,181_199,199,181,1,FaceSwap,FaceSwap/199_181.mp4,
